packet_id,timestamp_ms,temperature,pressure,voltage,status,wall_time
0,0,21.9508,1013.0955,3.2834,1,2026-05-27T18:32:49.204637
1,100,22.0695,1013.0439,3.3213,1,2026-05-27T18:32:49.304559
2,200,21.9595,1013.0398,3.3033,1,2026-05-27T18:32:49.405245
3,301,22.1443,1013.0608,3.3051,1,2026-05-27T18:32:49.505864
4,401,22.0943,1013.0364,3.3209,1,2026-05-27T18:32:49.606476
5,502,22.2547,1013.1242,3.2898,1,2026-05-27T18:32:49.707089
6,603,22.1876,1013.0614,3.3072,1,2026-05-27T18:32:49.807672
7,704,22.1645,1013.1346,3.2969,1,2026-05-27T18:32:49.908332
8,804,22.2721,1013.1027,3.3164,1,2026-05-27T18:32:50.008964
9,905,22.2947,1012.9994,3.3076,1,2026-05-27T18:32:50.109433
10,1006,22.542,1013.1889,3.3128,1,2026-05-27T18:32:50.210679
11,1106,22.4253,1013.14,3.3092,1,2026-05-27T18:32:50.311020
12,1207,22.5405,1013.0789,3.3114,1,2026-05-27T18:32:50.411498
13,1307,22.5069,1013.0504,3.3253,1,2026-05-27T18:32:50.512026
14,1408,22.3955,1013.1451,3.3175,1,2026-05-27T18:32:50.612330
15,1508,22.2888,1013.1367,3.3001,1,2026-05-27T18:32:50.713083
16,1609,22.3167,1013.0768,3.301,1,2026-05-27T18:32:50.814162
17,1710,22.2894,1013.1125,3.3186,1,2026-05-27T18:32:50.914479
18,1810,22.6458,1013.1968,3.3106,1,2026-05-27T18:32:51.015300
19,1911,22.4852,1013.1844,3.3341,1,2026-05-27T18:32:51.115683
20,2012,22.5604,1013.2418,3.3173,1,2026-05-27T18:32:51.216417
21,2112,22.785,1013.2069,3.3468,1,2026-05-27T18:32:51.316767
22,2213,22.7882,1013.2211,3.3205,1,2026-05-27T18:32:51.417343
23,2313,22.6375,1013.2369,3.3184,1,2026-05-27T18:32:51.518167
24,2414,22.8061,1013.2833,3.3251,1,2026-05-27T18:32:51.618818
25,2514,22.7305,1013.28,3.3344,1,2026-05-27T18:32:51.719114
26,2615,22.7366,1013.197,3.2987,1,2026-05-27T18:32:51.820176
27,2716,22.7448,1013.2848,3.3411,1,2026-05-27T18:32:51.920844
28,2816,22.7434,1013.3732,3.3273,1,2026-05-27T18:32:52.021092
29,2917,22.8435,1013.2468,3.3374,1,2026-05-27T18:32:52.121380
30,3017,22.8356,1013.2493,3.3204,1,2026-05-27T18:32:52.221815
31,3117,23.053,1013.3146,3.3246,1,2026-05-27T18:32:52.322354
32,3218,23.0159,1013.3152,3.3215,1,2026-05-27T18:32:52.423051
33,3319,22.9428,1013.3029,3.3099,1,2026-05-27T18:32:52.523539
34,3419,22.8672,1013.398,3.3296,1,2026-05-27T18:32:52.624004
35,3520,22.936,1013.3586,3.3134,1,2026-05-27T18:32:52.724327
36,3620,22.9746,1013.4321,3.3347,1,2026-05-27T18:32:52.824654
37,3720,23.1644,1013.3812,3.3441,1,2026-05-27T18:32:52.925070
38,3821,22.9892,1013.4577,3.3394,1,2026-05-27T18:32:53.025313
39,3921,23.2032,1013.4008,3.3366,1,2026-05-27T18:32:53.126029
40,4022,23.1902,1013.4175,3.3414,1,2026-05-27T18:32:53.226879
41,4123,23.1689,1013.4,3.3433,1,2026-05-27T18:32:53.327550
42,4223,23.19,1013.4058,3.3492,1,2026-05-27T18:32:53.428258
43,4324,23.1791,1013.4756,3.3406,1,2026-05-27T18:32:53.529370
44,4425,23.2241,1013.4739,3.3293,1,2026-05-27T18:32:53.630291
45,4526,23.3358,1013.4432,3.3546,1,2026-05-27T18:32:53.730667
46,4626,23.4761,1013.4274,3.3269,1,2026-05-27T18:32:53.831010
47,4727,23.3198,1013.5801,3.3505,1,2026-05-27T18:32:53.931396
48,4827,23.1907,1013.5497,3.3251,1,2026-05-27T18:32:54.032464
49,4928,23.2248,1013.5062,3.336,1,2026-05-27T18:32:54.132642
